Cluster	D19_SOZIALES	Absolute_Count	Relative_Value
1	0.0625	1541	0.7014110150204825
1	0.1875	80	0.03641329085116067
1	0.3125	80	0.03641329085116067
1	0.4375	104	0.047337278106508875
1	0.5625	88	0.04005461993627674
1	0.9375	304	0.13837050523441055
2	0.0625	922	0.44326923076923075
2	0.1875	48	0.023076923076923078
2	0.3125	48	0.023076923076923078
2	0.4375	68	0.032692307692307694
2	0.5625	108	0.051923076923076926
2	0.9375	886	0.42596153846153845
3	0.0625	923	0.6423103688239388
3	0.1875	58	0.04036186499652053
3	0.3125	44	0.030619345859429367
3	0.4375	65	0.04523312456506611
3	0.5625	83	0.05775922059846903
3	0.9375	264	0.1837160751565762
4	0.0625	3372	0.7389875082182774
4	0.1875	128	0.02805172035941267
4	0.3125	167	0.03659872890642121
4	0.4375	218	0.0477755862371247
4	0.5625	175	0.03835196142888451
4	0.9375	503	0.11023449484987946
5	0.0625	337	0.6569200779727096
5	0.1875	22	0.042884990253411304
5	0.3125	22	0.042884990253411304
5	0.4375	16	0.031189083820662766
5	0.5625	30	0.05847953216374269
5	0.9375	86	0.16764132553606237
6	0.0625	2701	0.6941660241583141
6	0.1875	139	0.035723464405037264
6	0.3125	137	0.0352094577229504
6	0.4375	183	0.047031611410948346
6	0.5625	176	0.045232588023644306
6	0.9375	555	0.14263685427910563
7	0.0625	974	0.6328784925276153
7	0.1875	47	0.030539311241065625
7	0.3125	52	0.03378817413905133
7	0.4375	56	0.036387264457439894
7	0.5625	69	0.04483430799220273
7	0.9375	341	0.22157244964262507
