Cluster	AKT_DAT_KL	Absolute_Count	Relative_Value
0	1.0	16469	0.8424040920716113
0	2.0	798	0.04081841432225064
0	3.0	302	0.015447570332480818
0	4.0	307	0.015703324808184142
0	5.0	467	0.023887468030690535
0	6.0	204	0.010434782608695653
0	7.0	218	0.011150895140664962
0	8.0	148	0.0075703324808184145
0	9.0	637	0.03258312020460358
1	1.0	155	0.34444444444444444
1	2.0	20	0.044444444444444446
1	3.0	25	0.05555555555555555
1	4.0	20	0.044444444444444446
1	5.0	72	0.16
1	6.0	21	0.04666666666666667
1	7.0	19	0.042222222222222223
1	8.0	11	0.024444444444444446
1	9.0	107	0.23777777777777778
