Cluster	CAMEO_DEUG_2015	Absolute_Count	Relative_Value
0	-1	5	0.0002557544757033248
0	1	408	0.020869565217391306
0	2	601	0.03074168797953964
0	3	482	0.024654731457800512
0	4	512	0.02618925831202046
0	5	314	0.0160613810741688
0	6	426	0.021790281329923274
0	7	255	0.013043478260869565
0	8	321	0.016419437340153453
0	9	169	0.008644501278772379
0	-1	27	0.001381074168797954
0	1	1972	0.10086956521739131
0	2	2597	0.13283887468030692
0	3	2137	0.10930946291560102
0	4	2513	0.12854219948849105
0	5	1282	0.06557544757033248
0	6	2101	0.10746803069053708
0	7	1206	0.061687979539641946
0	8	1458	0.07457800511508951
0	9	752	0.03846547314578005
0	X	12	0.0006138107416879795
1	1	10	0.022222222222222223
1	2	17	0.03777777777777778
1	3	12	0.02666666666666667
1	4	8	0.017777777777777778
1	5	5	0.011111111111111112
1	6	8	0.017777777777777778
1	7	4	0.008888888888888889
1	8	10	0.022222222222222223
1	9	3	0.006666666666666667
1	-1	2	0.0044444444444444444
1	1	40	0.08888888888888889
1	2	58	0.1288888888888889
1	3	48	0.10666666666666667
1	4	52	0.11555555555555555
1	5	40	0.08888888888888889
1	6	42	0.09333333333333334
1	7	28	0.06222222222222222
1	8	41	0.09111111111111111
1	9	21	0.04666666666666667
1	X	1	0.0022222222222222222
