Cluster	GEMEINDETYP	Absolute_Count	Relative_Value
0	-1.0	59	0.003017902813299233
0	11.0	2721	0.13918158567774935
0	12.0	3110	0.15907928388746803
0	21.0	1865	0.09539641943734016
0	22.0	4124	0.2109462915601023
0	30.0	3419	0.1748849104859335
0	40.0	3011	0.1540153452685422
0	50.0	1241	0.06347826086956522
1	-1.0	3	0.006666666666666667
1	11.0	87	0.19333333333333333
1	12.0	89	0.19777777777777777
1	21.0	45	0.1
1	22.0	93	0.20666666666666667
1	30.0	57	0.12666666666666668
1	40.0	46	0.10222222222222223
1	50.0	30	0.06666666666666667
