Cluster	PRAEGENDE_JUGENDJAHRE	Absolute_Count	Relative_Value
0	-1.0	168	0.008593350383631713
0	1.0	1358	0.06946291560102302
0	2.0	1616	0.08265984654731458
0	3.0	2674	0.1367774936061381
0	4.0	3098	0.15846547314578005
0	5.0	2379	0.12168797953964194
0	6.0	2095	0.1071611253196931
0	7.0	119	0.00608695652173913
0	8.0	1968	0.10066496163682864
0	9.0	1522	0.07785166240409207
0	10.0	708	0.036214833759590795
0	11.0	840	0.04296675191815857
0	12.0	108	0.005524296675191816
0	13.0	98	0.005012787723785167
0	14.0	462	0.02363171355498721
0	15.0	337	0.017237851662404092
1	-1.0	6	0.013333333333333334
1	1.0	23	0.051111111111111114
1	2.0	19	0.042222222222222223
1	3.0	48	0.10666666666666667
1	4.0	54	0.12
1	5.0	56	0.12444444444444444
1	6.0	71	0.15777777777777777
1	7.0	3	0.006666666666666667
1	8.0	47	0.10444444444444445
1	9.0	45	0.1
1	10.0	24	0.05333333333333334
1	11.0	24	0.05333333333333334
1	12.0	4	0.008888888888888889
1	13.0	4	0.008888888888888889
1	14.0	11	0.024444444444444446
1	15.0	11	0.024444444444444446
