Cluster	WOHNLAGE	Absolute_Count	Relative_Value
0	-1.0	122	0.006240409207161126
0	1.0	2254	0.11529411764705882
0	2.0	3328	0.170230179028133
0	3.0	6358	0.32521739130434785
0	4.0	2058	0.10526854219948849
0	5.0	815	0.04168797953964194
0	7.0	4318	0.22086956521739132
0	8.0	297	0.015191815856777494
1	-1.0	1	0.0022222222222222222
1	1.0	52	0.11555555555555555
1	2.0	81	0.18
1	3.0	160	0.35555555555555557
1	4.0	46	0.10222222222222223
1	5.0	26	0.057777777777777775
1	7.0	79	0.17555555555555555
1	8.0	5	0.011111111111111112
