Cluster	D19_KONSUMTYP	Absolute_Count	Relative_Value
0	-1.0	152	0.007774936061381074
0	1.0	4842	0.24767263427109976
0	2.0	3947	0.2018925831202046
0	3.0	7148	0.36562659846547313
0	4.0	632	0.032327365728900256
0	5.0	191	0.009769820971867007
0	6.0	989	0.05058823529411765
0	9.0	1649	0.08434782608695653
1	-1.0	6	0.013333333333333334
1	1.0	101	0.22444444444444445
1	2.0	84	0.18666666666666668
1	3.0	133	0.29555555555555557
1	4.0	19	0.042222222222222223
1	5.0	10	0.022222222222222223
1	6.0	27	0.06
1	9.0	70	0.15555555555555556
